transaction_id,transaction_date,sender_id,receiver_id,origin_country,destination_country,sender_bank,receiver_bank,currency,amount_usd,transaction_type,customer_segment,purpose_code,risk_rating,corridor,country_pair,transaction_day,transaction_week,transaction_month,log_amount_usd,risk_rating_num,entity_baseline_count,entity_baseline_median,entity_baseline_mad,peer_baseline_count,peer_baseline_median,peer_baseline_mad,entity_baseline_z,peer_baseline_z,baseline_score,rolling_median_amount,rolling_mean_amount,rolling_std_amount,rolling_txn_count,rolling_total_amount,rolling_amount_ratio,rolling_z,rolling_score,daily_amount_ratio,daily_count_ratio,daily_change_score,weekly_amount_ratio,weekly_count_ratio,weekly_change_score,monthly_amount_ratio,monthly_count_ratio,monthly_change_score,change_score,risk_context_score,anomaly_score,severity,is_alert,reason_codes,recommended_action
TXN001277,2025-06-14,CUST_A105,RCV_B202,GBR,USA,Mercury Trust,Continental Finance,USD,336343.55,Trade Finance,Corporate,Intercompany Transfer,Medium,GBR->USA,GBR->USA,2025-06-14,2025-06-09,2025-06-01,12.72589135996288,1,23,99315.64,31831.940000000002,65,82919.45,23180.18,5.022481359760039,7.3741685979142515,62.68,92084.91500000001,103708.58499999999,45950.389559069954,20.0,2074171.7,3.6525369003164085,5.0627419534919085,63.28,5.595602455890218,1.0,91.91,2.890414816984744,2.0,37.81,3.0028845386603216,2.0,40.06,91.91,55.0,67.55,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000441,2025-02-24,CUST_A104,RCV_B202,USA,ARE,Harbor Bank,Atlantic Bank,USD,8374.08,Wire,Retail,Family Support,Low,USA->ARE,USA->ARE,2025-02-24,2025-02-24,2025-02-01,9.033015908886451,0,26,2095.13,479.475,26,2095.13,479.475,8.832893842223264,8.832893842223264,88.33,1959.3000000000002,2423.34625,1241.7978818022027,8.0,19386.77,4.2740162302863265,4.792030842703475,59.9,4.867264558352562,1.0,77.35,4.867264558352562,1.0,77.35,1.4914471310644148,0.8,9.83,77.35,0.0,64.36,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Transaction amount sharply above recent rolling median; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000154,2025-01-21,CUST_A103,RCV_B204,USA,DEU,Continental Finance,Continental Finance,USD,689427.31,ACH,NBFI,Capital Goods,High,USA->DEU,USA->DEU,2025-01-21,2025-01-20,2025-01-01,13.443617996915707,2,47,129230.5,39837.640000000014,47,129230.5,39837.640000000014,9.484817583195186,9.484817583195186,94.85,,,,,,1.0,0.0,0.0,5.788512147669558,1.0,95.77,7.617549000267476,2.0,100.0,1.0,1.0,0.0,100.0,65.0,62.95,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Sudden time-period change in transaction amount or count; Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000395,2025-02-19,CUST_A103,RCV_B201,USA,RUS,Mercury Trust,Harbor Bank,USD,362672.82,Remittance,NBFI,Capital Goods,High,USA->RUS,USA->RUS,2025-02-19,2025-02-17,2025-02-01,12.8012591418001,2,41,107795.87,29431.67,41,107795.87,29431.67,5.841139927669752,5.841139927669752,58.41,92254.04,133770.42615384614,76437.74460894389,13.0,1739015.54,3.9312405180304304,2.9946251687202485,41.87,4.999450253602921,1.0,79.99,1.8555791188884485,1.0,17.11,0.8135030958483648,0.8888888888888888,0.0,79.99,85.0,61.75,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000956,2025-04-29,CUST_A101,RCV_B201,GBR,USA,Continental Finance,Mercury Trust,USD,237096.05,Wire,Corporate,Invoice Payment,Medium,GBR->USA,GBR->USA,2025-04-29,2025-04-28,2025-04-01,12.376224829968503,1,42,72474.635,21406.610000000004,65,82919.45,23180.18,5.187049440219631,4.486251474319871,51.87,70555.93,74994.59433333334,32123.731217091587,30.0,2249837.83,3.3603986227663643,5.046159008465984,63.08,3.624117572868084,2.0,52.48,7.284059610191601,5.0,100.0,0.7173781923759809,0.7,0.0,100.0,20.0,60.08,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN001220,2025-06-07,CUST_A103,RCV_B204,USA,ARE,Harbor Bank,Harbor Bank,USD,320317.29,Trade Finance,NBFI,Intercompany Transfer,High,USA->ARE,USA->ARE,2025-06-07,2025-06-02,2025-06-01,12.677070436683154,2,37,139744.96,65100.249999999985,37,139744.96,65100.249999999985,1.8708996752700646,1.8708996752700646,18.71,128508.905,152183.782,86929.17796125113,30.0,4565513.46,2.492568822370714,1.9341435401004925,24.18,1.2929901840305857,2.0,20.0,1.2929901840305857,2.0,20.0,2.5526527112084763,4.0,60.0,60.0,75.0,60.0,Medium,True,Sudden time-period change in transaction amount or count; Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN001102,2025-05-22,CUST_A103,RCV_B205,USA,ARE,Mercury Trust,Continental Finance,USD,325092.7,Trade Finance,NBFI,Family Support,High,USA->ARE,USA->ARE,2025-05-22,2025-05-19,2025-05-01,12.691868727451507,2,37,139744.96,65100.249999999985,37,139744.96,65100.249999999985,1.920377427582844,1.920377427582844,19.2,128508.905,147871.29928571428,83143.94404738459,28.0,4140396.38,2.5297289709222874,2.131501010022876,26.64,1.6172371000432102,1.0,12.34,1.6172371000432102,1.0,12.34,0.4253986048744494,0.2857142857142857,0.0,12.34,75.0,60.0,Medium,True,Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000936,2025-04-26,CUST_A103,RCV_B204,USA,RUS,Harbor Bank,Harbor Bank,USD,178932.71,Trade Finance,NBFI,Capital Goods,High,USA->RUS,USA->RUS,2025-04-26,2025-04-21,2025-04-01,12.094770681036348,2,41,107795.87,29431.67,41,107795.87,29431.67,1.6302778123021902,1.6302778123021902,16.3,105191.52,163444.74296296295,155887.04247664614,27.0,4413008.06,1.7010183900755498,0.09935378073105298,10.01,4.686802788727222,1.0,73.74,1.2257859729132325,0.5,4.52,1.0672460709104443,0.5714285714285714,1.34,73.74,70.0,60.0,Medium,True,Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000922,2025-04-25,CUST_A103,RCV_B201,USA,GBR,Mercury Trust,Continental Finance,USD,427946.79,Trade Finance,NBFI,Invoice Payment,High,USA->GBR,USA->GBR,2025-04-25,2025-04-21,2025-04-01,12.966756481141731,2,35,128672.26,40700.76999999999,35,128672.26,40700.76999999999,4.959627802741816,4.959627802741816,49.6,128672.26,138935.69,56637.69838118723,23.0,3195520.87,3.3258667408188836,5.102804461701041,63.79,3.5734663685401666,1.0,51.47,2.487290465560124,1.0,29.75,2.0996567270502453,1.25,21.99,51.47,75.0,60.0,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Rolling-window statistical outlier; Sudden time-period change in transaction amount or count; Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000654,2025-03-24,CUST_A103,RCV_B205,USA,RUS,Mercury Trust,Continental Finance,USD,43314.67,Trade Finance,NBFI,Family Support,High,USA->RUS,USA->RUS,2025-03-24,2025-03-24,2025-03-01,10.67626974228726,2,41,107795.87,29431.67,41,107795.87,29431.67,1.4777472498162694,1.4777472498162694,14.78,100962.47,140268.638,82614.5175593998,20.0,2805372.7600000002,0.4290175349315443,1.1735705886110168,14.67,0.5043936673803807,1.0,0.0,6.712916826638057,3.0,100.0,0.9413356188251384,0.875,0.0,100.0,70.0,60.0,Medium,True,Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000646,2025-03-23,CUST_A103,RCV_B205,USA,RUS,Atlantic Bank,Atlantic Bank,USD,85874.73,Trade Finance,NBFI,Intercompany Transfer,High,USA->RUS,USA->RUS,2025-03-23,2025-03-17,2025-03-01,11.360656530216321,2,41,107795.87,29431.67,41,107795.87,29431.67,0.5023775045724554,0.5023775045724554,5.02,108177.06,143131.47526315792,83788.18912410027,19.0,2719498.0300000003,0.7938349406057069,0.6833510290854224,8.54,0.9160178342166243,1.0,0.0,0.9160178342166243,1.0,0.0,0.9413356188251384,0.875,0.0,0.0,70.0,60.0,Medium,True,Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000460,2025-02-26,CUST_A103,RCV_B206,USA,RUS,Mercury Trust,Mercury Trust,USD,156276.11,Trade Finance,NBFI,Family Support,High,USA->RUS,USA->RUS,2025-02-26,2025-02-24,2025-02-01,11.959386056548569,2,41,107795.87,29431.67,41,107795.87,29431.67,1.1110454106070093,1.1110454106070093,11.11,100215.54999999999,143466.90875,90077.17143941278,16.0,2295470.54,1.5593998137015663,0.14220252529372152,7.99,1.8255462990998668,1.0,16.51,0.28084231429315937,0.3333333333333333,0.0,0.8135030958483648,0.8888888888888888,0.0,16.51,70.0,60.0,Medium,True,Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000367,2025-02-14,CUST_A103,RCV_B206,USA,RUS,Mercury Trust,Harbor Bank,USD,92254.04,Trade Finance,NBFI,Services,High,USA->RUS,USA->RUS,2025-02-14,2025-02-10,2025-02-01,11.432312194556724,2,41,107795.87,29431.67,41,107795.87,29431.67,0.35617973207092907,0.35617973207092907,3.56,124231.04,143110.81454545454,79500.33655801663,11.0,1574218.96,0.7426005610192107,0.6397051477680351,8.0,0.6829305342377873,1.0,0.0,0.42117401581430675,0.75,0.0,0.8135030958483648,0.8888888888888888,0.0,0.0,70.0,60.0,Medium,True,Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000251,2025-01-31,CUST_A103,RCV_B204,USA,RUS,Harbor Bank,Mercury Trust,USD,269880.16,Remittance,NBFI,Family Support,High,USA->RUS,USA->RUS,2025-01-31,2025-01-27,2025-01-01,12.505736992938735,2,41,107795.87,29431.67,41,107795.87,29431.67,3.714565079215688,3.714565079215688,37.15,104694.65,135257.43,78873.59443531038,8.0,1082059.44,2.577783678535627,1.706816216045704,22.54,3.169160102613651,1.0,43.38,1.5441112418855603,1.3333333333333333,10.88,1.0,1.0,0.0,43.38,85.0,60.0,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000210,2025-01-27,CUST_A103,RCV_B202,USA,RUS,Harbor Bank,Harbor Bank,USD,269782.53,ACH,NBFI,Invoice Payment,High,USA->RUS,USA->RUS,2025-01-27,2025-01-27,2025-01-01,12.505375175673777,2,41,107795.87,29431.67,41,107795.87,29431.67,3.7123276446766367,3.7123276446766367,37.12,98431.64,121186.44166666667,68280.62872246037,6.0,727118.65,2.7408110847284473,2.1762554199278172,27.2,0.8008144317411392,0.5,0.0,1.5441112418855603,1.3333333333333333,10.88,1.0,1.0,0.0,10.88,85.0,60.0,Medium,True,Large deviation from sender/corridor historical baseline; Large deviation from peer-group corridor baseline; Customer risk rating is High; Transaction involves configured elevated-risk country; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000193,2025-01-25,CUST_A103,RCV_B204,USA,ZAF,Mercury Trust,Continental Finance,USD,266992.17,Trade Finance,NBFI,Services,High,USA->ZAF,USA->ZAF,2025-01-25,2025-01-20,2025-01-01,12.494978356530854,2,45,116259.92,40232.67999999999,45,116259.92,40232.67999999999,2.527022873569447,2.527022873569447,25.27,190273.28,194408.51,94820.83833084506,7.0,1360859.57,1.4032036973346966,0.7654821585392864,9.57,2.705702724540136,1.0,34.11,1.3112309749482929,3.0,40.0,1.0,1.0,0.0,40.0,75.0,60.0,Medium,True,Sudden time-period change in transaction amount or count; Customer risk rating is High; High-value cross-border transfer,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000160,2025-01-21,CUST_A103,RCV_B201,USA,RUS,Continental Finance,Mercury Trust,USD,124231.04,Trade Finance,NBFI,Invoice Payment,High,USA->RUS,USA->RUS,2025-01-21,2025-01-20,2025-01-01,11.729906386227208,2,41,107795.87,29431.67,41,107795.87,29431.67,0.37665284249925335,0.37665284249925335,3.77,,,,,,1.0,0.0,0.0,1.7371892281465648,1.0,14.74,6.448035571878382,3.0,100.0,1.0,1.0,0.0,100.0,70.0,60.0,Medium,True,Sudden time-period change in transaction amount or count; Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000097,2025-01-12,CUST_A103,RCV_B203,USA,RUS,Atlantic Bank,Atlantic Bank,USD,71512.67,Trade Finance,NBFI,Intercompany Transfer,High,USA->RUS,USA->RUS,2025-01-12,2025-01-06,2025-01-01,11.177643899219037,2,41,107795.87,29431.67,41,107795.87,29431.67,0.8315198695826638,0.8315198695826638,8.32,,,,,,1.0,0.0,0.0,0.367693791970723,0.5,0.0,0.367693791970723,0.5,0.0,1.0,1.0,0.0,0.0,70.0,60.0,Medium,True,Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
TXN000026,2025-01-03,CUST_A103,RCV_B203,USA,RUS,Continental Finance,Mercury Trust,USD,69633.5,Trade Finance,NBFI,Services,High,USA->RUS,USA->RUS,2025-01-03,2024-12-30,2025-01-01,11.15101541316415,2,41,107795.87,29431.67,41,107795.87,29431.67,0.8745857290802729,0.8745857290802729,8.75,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,70.0,60.0,Medium,True,Customer risk rating is High; Transaction involves configured elevated-risk country,Queue for analyst triage; compare with expected customer activity and supporting documentation.
